century,chelsa_prior,posterior_median,posterior_mean,posterior_sd,q025,q975,shift_from_chelsa,shift_q025,shift_q975,n_events
1000,0.023911134656810162,-0.30150057612303904,-0.34581349771909614,0.5195990308247731,-1.4602278131889705,0.5953534951242501,-0.3254117107798492,-1.4841389478457807,0.57144236046744,6
1100,0.004866396858613342,0.00835224332756368,0.027146128946006338,0.4827142148570557,-0.9050633089453735,1.0151124670174418,0.0034858464689503377,-0.9099297058039868,1.0102460701588285,9
1200,-0.08455550457273375,-0.4070715682398952,-0.42824292570100286,0.5001225594218982,-1.4785933238367306,0.5145208949267129,-0.32251606366716146,-1.3940378192639968,0.5990763994994467,9
1300,0.15510534304478618,0.1531055748459701,0.18423417018006336,0.5343988706981522,-0.7943227078093145,1.3263545040716944,-0.0019997681988160737,-0.9494280508541006,1.1712491610269082,11
1400,-0.36333660356546993,-1.4656702531405585,-1.5007907796287763,0.6273896826150798,-2.8399513699768884,-0.4014136763390107,-1.1023336495750886,-2.476614766411418,-0.03807707277354079,9
1500,0.018769593211112934,-1.116232773488615,-1.1644739477036141,0.9222042351303483,-3.148908704706563,0.5514431204911968,-1.135002366699728,-3.167678297917676,0.5326735272800839,0
1600,-0.04626457325740141,-1.4871909272811525,-1.5403327344594662,0.6975633900154833,-3.1085632056788994,-0.3087980016935154,-1.4409263540237511,-3.062298632421498,-0.26253342843611405,4
1700,0.09309769536487345,-1.272352777354012,-1.2715501777476808,0.3101553692581,-1.9000201977377498,-0.6732741738642487,-1.3654504727188854,-1.9931178931026232,-0.7663718692291221,73
1800,0.19840651825940903,-1.3254569412565402,-1.348119476062544,0.5762474954705268,-2.5406197703628752,-0.28839484897199413,-1.5238634595159493,-2.7390262886222843,-0.48680136723140316,9
