century,Posterior,CHELSA,ModE-RA,ModE-Sim,partial_sim,diff_post_ra,diff_post_sim,diff_chelsa_sim
1000,0.9897998990256633,-0.04209117373768834,NA,NA,FALSE,NA,NA,NA
1100,1.3264748410808924,-0.06113591153588516,NA,NA,FALSE,NA,NA,NA
1200,0.8900845239685597,-0.15055781296723225,NA,NA,FALSE,NA,NA,NA
1300,1.4413253160009751,0.08910303465028768,NA,NA,FALSE,NA,NA,NA
1400,-0.14382523407762898,-0.42933891195996843,0.015994102962304246,-9.216645688212566e-4,TRUE,-0.15981933703993323,-0.14290356950880773,-0.42841724739114717
1500,0.15855948898620376,-0.047232715183385565,0.07526481115723388,0.05701947111786865,FALSE,0.08329467782896988,0.10154001786833511,-0.10425218630125421
1600,-0.18213426062305677,-0.11226688165189991,-0.04583119138081987,-0.028696510969510314,FALSE,-0.1363030692422369,-0.15343774965354645,-0.0835703706823896
1700,0.03561207596954252,0.027095386970374946,0.020461601769202642,-0.009573552758254777,FALSE,0.01515047420033988,0.0451856287277973,0.036668939728629724
1800,-0.00440146077788206,0.13240420986491053,-0.04989522154561671,-0.018749407390103556,TRUE,0.04549376076773465,0.014347946612221496,0.15115361725501408
