climate_var,chelsa_sd_value,century,chelsa_prior,posterior_median,posterior_mean,posterior_sd,q025,q975
temperature,1,1000,0.023911134656810162,-0.4940264984150621,-0.5030073691001659,0.579713213659383,-1.635870569556926,0.6391394942119556
temperature,1,1100,0.004866396858613342,0.08659991465660383,0.08792950856525199,0.5295283070909158,-0.9326179714235879,1.102757159293067
temperature,1,1200,-0.08455550457273375,-0.5172582604292674,-0.5212744922626066,0.5860557527885314,-1.7197555382161729,0.6120611160072885
temperature,1,1300,0.15510534304478618,0.3390557589294002,0.35184563172466987,0.5723198445820362,-0.7579825633594647,1.4872354796468419
temperature,1,1400,-0.36333660356546993,-1.7558725759101024,-1.7664144363009775,0.6332357068841711,-3.059481933156127,-0.5611072302450127
temperature,1,1500,0.018769593211112934,-1.3286277263855415,-1.320029617158285,1.131413709347629,-3.5525599633859497,0.9317383434892101
temperature,1,1600,-0.04626457325740141,-1.7596688174975772,-1.7719997030519647,0.7835989387295541,-3.342960258707687,-0.2601828147659245
temperature,1,1700,0.09309769536487345,-1.3357989606464762,-1.3359586043394882,0.30321214456431933,-1.9404935761642197,-0.7492748017681016
temperature,1,1800,0.19840651825940903,-1.540524284868937,-1.5497072812889532,0.6232143908360511,-2.8376046222971025,-0.3804568756988114
