century,component,posterior_median,q025,q975,climate_var
1000,CHELSA baseline,1.513770825180607,1.513770825180607,1.513770825180607,precipitation
1100,CHELSA baseline,4.669742635344842,4.669742635344842,4.669742635344842,precipitation
1200,CHELSA baseline,-0.6362945980453872,-0.6362945980453872,-0.6362945980453872,precipitation
1300,CHELSA baseline,3.98009779372052,3.98009779372052,3.98009779372052,precipitation
1400,CHELSA baseline,2.9743254518104303,2.9743254518104303,2.9743254518104303,precipitation
1500,CHELSA baseline,-1.0438767849771036,-1.0438767849771036,-1.0438767849771036,precipitation
1600,CHELSA baseline,-2.645093389773956,-2.645093389773956,-2.645093389773956,precipitation
1700,CHELSA baseline,-2.2251134884429162,-2.2251134884429162,-2.2251134884429162,precipitation
1800,CHELSA baseline,-6.587558444817007,-6.587558444817007,-6.587558444817007,precipitation
1000,AR(1) persistence,0,0,0,precipitation
1100,AR(1) persistence,-0.595202257021624,-1.5553089132623972,0.11481407451269476,precipitation
1200,AR(1) persistence,-2.621070616386818,-4.272795071406364,-0.9228294089923568,precipitation
1300,AR(1) persistence,0.8946968099661132,0.2718179880115399,1.765757125636737,precipitation
1400,AR(1) persistence,-2.270692965068579,-3.819103453478192,-0.8170135423881966,precipitation
1500,AR(1) persistence,-0.4305570583982177,-1.3474230744095563,0.22062153847162436,precipitation
1600,AR(1) persistence,0.7513457004693078,-2.8315799221306555,4.923697743659491,precipitation
1700,AR(1) persistence,2.4284043961313606,0.81415830690247,4.5383960892608854,precipitation
1800,AR(1) persistence,1.7261739353642147,0.6108993207033167,2.8476303531683462,precipitation
1000,Innovation,-1.1254075537628365,-2.2650021022427,0.2141049227688403,precipitation
1100,Innovation,-3.905004790311187,-4.957901414628647,-2.684638832769944,precipitation
1200,Innovation,4.22190708007024,2.391712703791288,5.986423884043676,precipitation
1300,Innovation,-4.855660488869106,-6.15541207145582,-3.6806787295669974,precipitation
1400,Innovation,1.4664506590892448,-0.3664967529647662,3.416797347240595,precipitation
1500,Innovation,1.886274151321833,-4.7965075690616805,8.162511575768633,precipitation
1600,Innovation,3.5174757258721128,-0.6898898449144032,7.251554452670958,precipitation
1700,Innovation,0.5331036457879823,-1.5954194590364148,2.165395419464059,precipitation
1800,Innovation,6.514096849190612,5.306648683304052,7.846411071209031,precipitation
