century,Posterior,CHELSA,ModE-RA,ModE-Sim,partial_sim,diff_post_ra,diff_post_sim,diff_chelsa_sim
1000,-0.6832579485175243,4.639181352183353,NA,NA,FALSE,NA,NA,NA
1100,-0.94352485467597,7.795153162347588,NA,NA,FALSE,NA,NA,NA
1200,-0.1422482467033792,2.4891159289573586,NA,NA,FALSE,NA,NA,NA
1300,-1.0637340231534789,7.105508320723266,NA,NA,FALSE,NA,NA,NA
1400,1.075483362687956,6.099735978813176,4.732467651743473,-2.2650540634412373,TRUE,-3.656984289055517,3.3405374261291936,8.364790042254413
1500,-0.7489651040376031,2.081533742025642,5.93893297067655,-1.1547324772166006,FALSE,-6.687898074714154,0.40576737317899747,3.2362662192422427
1600,0.5424250302255285,0.48031713722879,7.286355569248133,0.42757548252035554,FALSE,-6.743930539022605,0.11484954770517292,0.05274165470843445
1700,-0.36399782546710313,0.9002970385598297,-0.10290991558438238,0.3057149917239277,FALSE,-0.26108790988272074,-0.6697128171910308,0.594582046835902
1800,0.5495023832697281,-3.462147917814261,-13.1223786243403,0.4214420029723348,TRUE,13.671881007610027,0.1280603802973933,-3.8835899207865956
