climate_var,chelsa_sd_value,century,posterior_median,q025,q975,sigma_median,sigma_q025,sigma_q975
temperature,0.25,1000,-0.29390647863788044,-1.456954453089886,0.6064394153187842,0.6967767068569533,0.09093308939664185,1.6440577197907198
temperature,0.25,1100,0.004109139114869445,-0.8982451953395292,0.9332444365255951,0.6967767068569533,0.09093308939664185,1.6440577197907198
temperature,0.25,1200,-0.4018050691738857,-1.4704785435642822,0.4861162314648403,0.6967767068569533,0.09093308939664185,1.6440577197907198
temperature,0.25,1300,0.1162100957972447,-0.8311390064230924,1.281392602511968,0.6967767068569533,0.09093308939664185,1.6440577197907198
temperature,0.25,1400,-1.4095437448410135,-2.7528878294997465,-0.4177842663002453,0.6967767068569533,0.09093308939664185,1.6440577197907198
temperature,0.25,1500,-1.1127345983294297,-3.106331862067067,0.48748390678456693,0.6967767068569533,0.09093308939664185,1.6440577197907198
temperature,0.25,1600,-1.459159551095915,-3.009238201825592,-0.32930201452795277,0.6967767068569533,0.09093308939664185,1.6440577197907198
temperature,0.25,1700,-1.2675004884763623,-1.883500622628762,-0.6674676512947466,0.6967767068569533,0.09093308939664185,1.6440577197907198
temperature,0.25,1800,-1.2962552331113972,-2.5274017428429443,-0.272813651111732,0.6967767068569533,0.09093308939664185,1.6440577197907198
temperature,0.5,1000,-0.2927266052246362,-1.420405293072918,0.5930085604827217,0.5002769606196145,0.02509165874640053,1.6087060597380871
temperature,0.5,1100,0.028952227944703854,-0.8984304712734899,1.005868749310122,0.5002769606196145,0.02509165874640053,1.6087060597380871
temperature,0.5,1200,-0.39983770645509065,-1.4766444333575968,0.5394469834672071,0.5002769606196145,0.02509165874640053,1.6087060597380871
temperature,0.5,1300,0.12466796594885238,-0.8210935108463752,1.2431350313230396,0.5002769606196145,0.02509165874640053,1.6087060597380871
temperature,0.5,1400,-1.4570262402238665,-2.7709839131532696,-0.3272299935180433,0.5002769606196145,0.02509165874640053,1.6087060597380871
temperature,0.5,1500,-1.138704471742209,-3.046868493700184,0.4494149174451357,0.5002769606196145,0.02509165874640053,1.6087060597380871
temperature,0.5,1600,-1.490293937657307,-3.009124752013003,-0.2882759707173247,0.5002769606196145,0.02509165874640053,1.6087060597380871
temperature,0.5,1700,-1.279683930974119,-1.8742415216348012,-0.6981666370300881,0.5002769606196145,0.02509165874640053,1.6087060597380871
temperature,0.5,1800,-1.319176303375284,-2.5161875801863456,-0.24174257388035733,0.5002769606196145,0.02509165874640053,1.6087060597380871
temperature,1,1000,-0.4940264984150621,-1.635870569556926,0.6391394942119556,0.3784982592580329,0.0178875507982012,1.528541151208286
temperature,1,1100,0.08659991465660383,-0.9326179714235879,1.102757159293067,0.3784982592580329,0.0178875507982012,1.528541151208286
temperature,1,1200,-0.5172582604292674,-1.7197555382161729,0.6120611160072885,0.3784982592580329,0.0178875507982012,1.528541151208286
temperature,1,1300,0.3390557589294002,-0.7579825633594647,1.4872354796468419,0.3784982592580329,0.0178875507982012,1.528541151208286
temperature,1,1400,-1.7558725759101024,-3.059481933156127,-0.5611072302450127,0.3784982592580329,0.0178875507982012,1.528541151208286
temperature,1,1500,-1.3286277263855415,-3.5525599633859497,0.9317383434892101,0.3784982592580329,0.0178875507982012,1.528541151208286
temperature,1,1600,-1.7596688174975772,-3.342960258707687,-0.2601828147659245,0.3784982592580329,0.0178875507982012,1.528541151208286
temperature,1,1700,-1.3357989606464762,-1.9404935761642197,-0.7492748017681016,0.3784982592580329,0.0178875507982012,1.528541151208286
temperature,1,1800,-1.540524284868937,-2.8376046222971025,-0.3804568756988114,0.3784982592580329,0.0178875507982012,1.528541151208286
precipitation,2.5,1000,0.3647793160334679,-0.7301600407445691,1.482424711740275,1.593974923846269,0.06563284729249386,4.068427253876727
precipitation,2.5,1100,0.1583888301142451,-0.6877132869079133,1.0200863942841267,1.593974923846269,0.06563284729249386,4.068427253876727
precipitation,2.5,1200,0.940035929694184,0.09337057324373277,1.8012362290574955,1.593974923846269,0.06563284729249386,4.068427253876727
precipitation,2.5,1300,0.051005404735788795,-0.9855955445348762,1.0309384963787194,1.593974923846269,0.06563284729249386,4.068427253876727
precipitation,2.5,1400,2.13789739058345,1.0531339027707745,3.3377500417564483,1.593974923846269,0.06563284729249386,4.068427253876727
precipitation,2.5,1500,0.44490088073109335,-5.119188111722202,5.974342188416816,1.593974923846269,0.06563284729249386,4.068427253876727
precipitation,2.5,1600,1.5700719897456914,0.06310532735391282,3.1852976501264934,1.593974923846269,0.06563284729249386,4.068427253876727
precipitation,2.5,1700,0.7305108015764485,0.26847445968723715,1.202753899035405,1.593974923846269,0.06563284729249386,4.068427253876727
precipitation,2.5,1800,1.6087424002458905,0.8294715560677502,2.388429084086496,1.593974923846269,0.06563284729249386,4.068427253876727
precipitation,5,1000,0.4118662928649195,-0.6660682730241634,1.5533171164001327,0.6210738150290147,0.026386309021929937,2.908263086014802
precipitation,5,1100,0.09961350344985989,-0.772710115153926,0.9547453851958689,0.6210738150290147,0.026386309021929937,2.908263086014802
precipitation,5,1200,1.0225521247516545,0.19258962585209166,1.9564994765041335,0.6210738150290147,0.026386309021929937,2.908263086014802
precipitation,5,1300,-0.041556681080717014,-1.1133192232052136,0.9966989729167153,0.6210738150290147,0.026386309021929937,2.908263086014802
precipitation,5,1400,2.1989357621670305,1.0116568364871332,3.4051728340166183,0.6210738150290147,0.026386309021929937,2.908263086014802
precipitation,5,1500,0.5167733078809873,-8.688416112889023,9.216015453877455,0.6210738150290147,0.026386309021929937,2.908263086014802
precipitation,5,1600,1.7277011716487514,0.1842192457323006,3.4383214818429866,0.6210738150290147,0.026386309021929937,2.908263086014802
precipitation,5,1700,0.7438853266026615,0.29673416379227774,1.203581362878855,0.6210738150290147,0.026386309021929937,2.908263086014802
precipitation,5,1800,1.6979306737565107,0.9100900743399747,2.519238161462853,0.6210738150290147,0.026386309021929937,2.908263086014802
precipitation,10,1000,0.43372584656138113,-0.7038798021113287,1.5773354859953594,0.6165594164818916,0.025705919560745322,2.8979402076785434
precipitation,10,1100,0.08184713926627388,-0.7942293388806064,0.9448769503498254,0.6165594164818916,0.025705919560745322,2.8979402076785434
precipitation,10,1200,1.0616127939552849,0.21815053604610538,1.9908939949389708,0.6165594164818916,0.025705919560745322,2.8979402076785434
precipitation,10,1300,-0.07109536653775805,-1.137051431841471,0.9896849407782493,0.6165594164818916,0.025705919560745322,2.8979402076785434
precipitation,10,1400,2.1959301019531585,0.985881035421695,3.456692593029096,0.6165594164818916,0.025705919560745322,2.8979402076785434
precipitation,10,1500,0.4258192641486135,-17.46920646120801,17.67003932931878,0.6165594164818916,0.025705919560745322,2.8979402076785434
precipitation,10,1600,1.8076396101656953,0.1922576689047634,3.510496947295194,0.6165594164818916,0.025705919560745322,2.8979402076785434
precipitation,10,1700,0.7549873264957326,0.2757321495048962,1.236213177378152,0.6165594164818916,0.025705919560745322,2.8979402076785434
precipitation,10,1800,1.724875660636311,0.9498617874949493,2.5509389585199425,0.6165594164818916,0.025705919560745322,2.8979402076785434
