climate_var,chelsa_sd_value,sigma_median,sigma_q025,sigma_q975
temperature,0.25,0.6967767068569533,0.09093308939664185,1.6440577197907198
temperature,0.5,0.5002769606196145,0.02509165874640053,1.6087060597380871
temperature,1,0.3784982592580329,0.0178875507982012,1.528541151208286
precipitation,2.5,1.593974923846269,0.06563284729249386,4.068427253876727
precipitation,5,0.6210738150290147,0.026386309021929937,2.908263086014802
precipitation,10,0.6165594164818916,0.025705919560745322,2.8979402076785434
