year,temperature_C,precipitation_mm
1050,15.65384651807944,809.9020138888889
1150,15.634801780281244,835.0811388888889
1250,15.545379878849895,792.7482592592593
1350,15.785040726467415,829.5789814814815
1450,15.266598779857159,821.5546805555556
1550,15.648704976633743,789.4964675925926
1650,15.583670810165229,776.7215648148148
1750,15.723033078787504,780.0722685185185
1850,15.828341901682041,745.2676018518519
